Id,X,Y
1,529396.5393954368,181025.06304746034
2,529192.5378675429,181079.39137965103
3,529183.7397662739,181193.73501269508
4,529748.9110886676,180924.2072511902
5,529613.205238149,180896.80412119546
6,529453.5859949013,180826.3531520345
7,529593.7270428849,180660.45474864007
8,529296.1044190172,180794.8490373643
